second,bits,complete_second
1465,52648440,True
1466,47725568,True
1467,53588632,True
1468,45352512,True
1469,48792512,True
1470,50012704,True
1471,50488016,True
1472,51034224,True
1473,52050272,True
1474,51285672,True
1475,47434624,True
1476,48076976,True
1477,55504104,True
1478,42866920,True
1479,52688328,True
1480,54652496,True
1481,50696760,True
1482,46801968,True
1483,49321496,True
1484,51447752,True
1485,48013160,True
1486,53031392,True
1487,48190352,True
1488,40727336,True
1489,40629864,True
1490,48919456,True
1491,48119256,True
1492,48703024,True
1493,48785856,True
1494,47743816,True
1495,48151488,True
1496,50173464,True
1497,49551360,True
1498,50628040,True
1499,48928488,True
1500,56651352,True
1501,47112816,True
1502,49291832,True
1503,49055616,True
1504,48142880,True
1505,50113880,True
1506,52216904,True
1507,52840880,True
1508,60968480,True
1509,61540968,True
1510,50407080,True
1511,50955400,True
1512,50508696,True
1513,51252496,True
1514,51254088,True
1515,46583512,True
1516,51598016,True
1517,50933664,True
1518,48204600,True
1519,51182208,True
1520,49873296,True
1521,48291392,True
1522,49688352,True
1523,48931752,True
1524,53164232,True
1525,48547984,True
1526,42152792,True
1527,38151232,True
1528,47492472,True
1529,46629768,True
1530,50035488,True
1531,51301520,True
1532,50010080,True
1533,47888400,True
1534,47817032,True
1535,50777280,True
1536,50334296,True
1537,49625536,True
1538,49624120,True
1539,48532352,True
1540,52213504,True
1541,52060928,True
1542,53232040,True
1543,46773416,True
1544,60893128,True
1545,57315752,True
1546,40295048,True
1547,42841008,True
1548,50868704,True
1549,48505376,True
1550,47797984,True
1551,50249560,True
1552,49657224,True
1553,52064800,True
1554,49129256,True
1555,51279424,True
1556,47985528,True
1557,50696976,True
1558,49471256,True
1559,52104136,True
1560,62824552,True
1561,58356376,True
1562,48204920,True
1563,55395984,True
1564,48703712,True
1565,47798328,True
1566,51040752,True
1567,53397408,True
1568,49521400,True
1569,46624504,True
1570,40865560,True
1571,40998048,True
1572,48420528,True
1573,47330256,True
1574,48631680,True
1575,49447176,True
1576,49516776,True
1577,52145192,True
1578,53321864,True
1579,49473616,True
1580,49200000,True
1581,48021864,True
1582,51173352,True
1583,47729928,True
1584,51315000,True
1585,50689888,True
1586,48442952,True
1587,49692072,True
1588,51543728,True
1589,62877984,True
1590,52556208,True
1591,51543192,True
1592,61238952,True
1593,43914000,True
1594,51224624,True
1595,52008480,True
1596,47316344,True
1597,53794696,True
1598,35614912,True
1599,43493320,True
1600,47873592,True
1601,46274648,True
1602,49038936,True
1603,59592024,True
1604,42477992,True
1605,48859192,True
1606,49908600,True
1607,49204864,True
1608,49949776,True
1609,50517264,True
1610,52690688,True
1611,47759232,True
1612,50301768,True
1613,50497992,True
1614,50851488,True
1615,50093800,True
1616,47905744,True
1617,50864704,True
1618,48917704,True
1619,48932992,True
1620,61746424,True
1621,65235824,True
1622,48290952,True
1623,49588144,True
1624,53636952,True
1625,51258968,True
1626,42210104,True
1627,38566280,True
1628,49117064,True
1629,47402112,True
1630,46071192,True
1631,52283624,True
1632,50701656,True
1633,47026944,True
1634,47631528,True
1635,51723656,True
1636,52461440,True
1637,47207376,True
1638,53797352,True
1639,46907688,True
1640,47642472,True
1641,51027624,True
1642,55524936,True
1643,48763760,True
1644,51882648,True
1645,55703944,True
1646,49739704,True
1647,39799624,True
1648,49087872,True
1649,50401480,True
1650,49680088,True
1651,51573296,True
1652,49571376,True
1653,50899216,True
1654,48025304,True
1655,52095024,True
1656,48909848,True
1657,49684392,True
1658,59927472,True
1659,62205224,True
1660,47661296,True
1661,54025456,True
